"mun_nome","mun_uf","lon","lat"
"Itapajé","CE","-39.585531","-3.683137"
"Acarape","CE","-38.705532","-4.220833"
"Ararendá","CE","-40.830999","-4.745667"
"Aracoiaba","CE","-38.812512","-4.368722"
"Assaré","CE","-39.868872","-6.866897"
"Arneiroz","CE","-40.165285","-6.316499"
"Antonina do Norte","CE","-39.986977","-6.769193"
"Amontada","CE","-39.828816","-3.360166"
"Aracati","CE","-37.767894","-4.558259"
"Apuiarés","CE","-39.435933","-3.945057"
"Alcântaras","CE","-40.547867","-3.585369"
"Aiuaba","CE","-40.117822","-6.571216"
"Alto Santo","CE","-38.274318","-5.508941"
"Altaneira","CE","-39.748055","-6.988047"
"Acaraú","CE","-40.118306","-2.887689"
"Acopiara","CE","-39.448042","-6.089114"
"Aurora","CE","-38.974221","-6.933487"
"Hidrolândia","CE","-40.405595","-4.409579"
"Guaramiranga","CE","-38.932044","-4.262477"
"Ibaretama","CE","-38.750085","-4.803764"
"Horizonte","CE","-38.470674","-4.120890"
"Groaíras","CE","-40.385225","-3.917868"
"Granjeiro","CE","-39.214399","-6.873862"
"Guaraciaba do Norte","CE","-40.747588","-4.158136"
"Guaiúba","CE","-38.640372","-4.040571"
"Frecheirinha","CE","-40.818019","-3.755572"
"Fortim","CE","-37.798056","-4.451256"
"Granja","CE","-40.837205","-3.127879"
"Graça","CE","-40.749026","-4.044215"
"Farias Brito","CE","-39.565114","-6.921460"
"Deputado Irapuan Pinheiro","CE","-39.257010","-5.914848"
"Forquilha","CE","-40.263405","-3.799447"
"Crato","CE","-39.410299","-7.215303"
"Crateús","CE","-40.653635","-5.167683"
"Cruz","CE","-40.175981","-2.918128"
"Croatá","CE","-40.902228","-4.404805"
"Choró","CE","-39.134397","-4.839062"
"Coreaú","CE","-40.658656","-3.541496"
"Chorozinho","CE","-38.498572","-4.288730"
"Catunda","CE","-40.199988","-4.643360"
"Catarina","CE","-39.873644","-6.122911"
"Cedro","CE","-39.060869","-6.600342"
"Caucaia","CE","-38.661931","-3.727966"
"Caririaçu","CE","-39.282760","-7.028076"
"Cariré","CE","-40.476028","-3.948584"
"Cascavel","CE","-38.241178","-4.129666"
"Cariús","CE","-39.491619","-6.524282"
"Fortaleza","CE","-38.544866","-3.766265"
